contamination_output_paired:mapped:          	  0.5754% 	    63552 	  0.5305% 	     8281496
contamination_output_paired:mapped:          	  0.5825% 	    64335 	  0.5267% 	     7922325
contamination_output_paired:mapped:          	  0.0034% 	      533 	  0.0032% 	       60309
contamination_output_paired:mapped:          	  0.0037% 	      583 	  0.0035% 	       65203
contamination_output_paired:mapped:          	  0.0030% 	      604 	  0.0028% 	       68105
contamination_output_paired:mapped:          	  0.0031% 	      624 	  0.0029% 	       70720
contamination_output_paired:mapped:          	  0.0032% 	      777 	  0.0028% 	       96624
contamination_output_paired:mapped:          	  0.0034% 	      841 	  0.0029% 	       98403
contamination_output_paired:mapped:          	  1.9928% 	   816036 	  1.9169% 	   112856286
contamination_output_paired:mapped:          	  1.9997% 	   818866 	  1.9078% 	   110491599
contamination_output_paired:mapped:          	  0.0059% 	     1142 	  0.0055% 	      125047
contamination_output_paired:mapped:          	  0.0062% 	     1184 	  0.0056% 	      126670
contamination_output_paired:mapped:          	  0.0050% 	      886 	  0.0046% 	       96471
contamination_output_paired:mapped:          	  0.0053% 	      951 	  0.0048% 	      101694
contamination_output_paired:mapped:          	  0.0022% 	      231 	  0.0019% 	       28320
contamination_output_paired:mapped:          	  0.0045% 	      470 	  0.0036% 	       44958
contamination_output_paired:mapped:          	  0.0027% 	      351 	  0.0023% 	       43709
contamination_output_paired:mapped:          	  0.0048% 	      627 	  0.0039% 	       61521
contamination_output_paired:mapped:          	  0.0021% 	      247 	  0.0018% 	       29480
contamination_output_paired:mapped:          	  0.0044% 	      503 	  0.0035% 	       47652
contamination_output_paired:mapped:          	  0.4341% 	    43116 	  0.3514% 	     4873632
contamination_output_paired:mapped:          	  0.4399% 	    43695 	  0.3536% 	     4619462
contamination_output_paired:mapped:          	  0.0172% 	     2262 	  0.0165% 	      258244
contamination_output_paired:mapped:          	  0.0173% 	     2274 	  0.0163% 	      254428
contamination_output_paired:mapped:          	  0.0031% 	      603 	  0.0028% 	       76787
contamination_output_paired:mapped:          	  0.0033% 	      650 	  0.0029% 	       79105
contamination_output_paired:mapped:          	  0.0100% 	     2069 	  0.0095% 	      231748
contamination_output_paired:mapped:          	  0.0100% 	     2078 	  0.0095% 	      234028
contamination_output_paired:mapped:          	  0.0019% 	      439 	  0.0016% 	       52779
contamination_output_paired:mapped:          	  0.0021% 	      502 	  0.0017% 	       55843
contamination_output_paired:mapped:          	  0.0044% 	      827 	  0.0041% 	      110040
contamination_output_paired:mapped:          	  0.0046% 	      880 	  0.0041% 	      109642
contamination_output_paired:mapped:          	  0.0033% 	      578 	  0.0031% 	       62449
contamination_output_paired:mapped:          	  0.0031% 	      533 	  0.0029% 	       60508
contamination_output_paired:mapped:          	  0.0194% 	     1771 	  0.0173% 	      223652
contamination_output_paired:mapped:          	  0.0213% 	     1940 	  0.0177% 	      213875
contamination_output_paired:mapped:          	  0.0441% 	     2548 	  0.0406% 	      333857
contamination_output_paired:mapped:          	  0.0443% 	     2559 	  0.0402% 	      317852
contamination_output_paired:mapped:          	  0.0593% 	     6126 	  0.0529% 	      770452
contamination_output_paired:mapped:          	  0.0613% 	     6331 	  0.0525% 	      730849
contamination_output_paired:mapped:          	  0.0026% 	      434 	  0.0025% 	       49757
contamination_output_paired:mapped:          	  0.0027% 	      447 	  0.0026% 	       50010
contamination_output_paired:mapped:          	  0.0064% 	     1226 	  0.0058% 	      132810
contamination_output_paired:mapped:          	  0.0072% 	     1378 	  0.0064% 	      146316
contamination_output_paired:mapped:          	  0.0028% 	      716 	  0.0025% 	       91512
contamination_output_paired:mapped:          	  0.0031% 	      782 	  0.0027% 	       95543
contamination_output_paired:mapped:          	  0.0146% 	     2121 	  0.0126% 	      259350
contamination_output_paired:mapped:          	  0.0150% 	     2174 	  0.0126% 	      248512
contamination_output_paired:mapped:          	  0.0036% 	      606 	  0.0033% 	       65320
contamination_output_paired:mapped:          	  0.0030% 	      509 	  0.0029% 	       57590
contamination_output_paired:mapped:          	  0.0035% 	      679 	  0.0031% 	       86633
contamination_output_paired:mapped:          	  0.0034% 	      663 	  0.0030% 	       82155
contamination_output_paired:mapped:          	  0.0026% 	      276 	  0.0022% 	       33396
contamination_output_paired:mapped:          	  0.0037% 	      394 	  0.0029% 	       40026
contamination_output_paired:mapped:          	  0.0162% 	     2585 	  0.0141% 	      318286
contamination_output_paired:mapped:          	  0.0164% 	     2606 	  0.0138% 	      299341
contamination_output_paired:mapped:          	  0.9985% 	   224582 	  0.9939% 	    31991135
contamination_output_paired:mapped:          	  1.0036% 	   225739 	  0.9976% 	    32401232
contamination_output_paired:mapped:          	  9.5158% 	  1890745 	  9.4737% 	   271624281
contamination_output_paired:mapped:          	  9.5155% 	  1890689 	  9.4542% 	   270603022
contamination_output_paired:mapped:          	  0.1270% 	    24387 	  0.1260% 	     3498107
contamination_output_paired:mapped:          	  0.1276% 	    24520 	  0.1265% 	     3506890
contamination_output_paired:mapped:          	  1.7696% 	   333107 	  1.7613% 	    47836998
contamination_output_paired:mapped:          	  1.7626% 	   331789 	  1.7499% 	    47409797
contamination_output_paired:mapped:          	  3.1650% 	   613022 	  3.1329% 	    87520791
contamination_output_paired:mapped:          	  3.1619% 	   612423 	  3.1178% 	    86933034
contamination_output_paired:mapped:          	  0.0102% 	      898 	  0.0093% 	      115623
contamination_output_paired:mapped:          	  0.0110% 	      963 	  0.0093% 	      110170
